scenario,forecast_basis,horizon,mechanism,metric,unit,draws,seed,mean,median,p05,p10,p25,p75,p90,p95,probability_zero,evidence_status
central,conditional,year_1,redirect,completed_skilled_work,commitments_or_groups,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,completed_transport_carbon,commitments_or_groups,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,dac_bonus_liability_locked,USD_internal_liability,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,dac_bonus_liability_released,USD_internal_liability,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,dac_bonus_paid,USD_internal_transfer,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,dac_capacity_waiting_pledges,USD_pledge_principal,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,dac_free_reserve,USD_reserve_state,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,dac_funding_lost_to_surcharge,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,dac_gross_threshold,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,dac_incremental_funding_caused_by_bonus,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,dac_pledge_principal,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,dac_project_funding,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,dac_project_target,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,dac_required_surcharge,USD_internal_threshold_component,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,dac_reserve_cash,USD_reserve_state,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,dac_returned_or_cancelled_principal,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,dac_surcharge_inflow,USD_internal_transfer,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,donation_displacement,USD,200000,69520260814,276.932766164,92.5601542355,3.47536555022,7.59628122061,26.3367888027,285.640634271,703.352987115,1153.79251351,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,failed_settlement_losses,USD,200000,69520260814,1607.87617995,635.275932367,36.6842906345,72.2020942781,211.112778959,1727.37082015,3953.78231863,6305.62973758,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,gross_planned_principal,USD,200000,69520260814,209699.168602,192707.705939,63189.2963743,82366.2520467,126286.124729,276584.391516,362187.254573,414750.796683,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,lapsed_dac_projects,projects,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,legal_cash_costs,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,net_causal_cash,USD,200000,69520260814,29668.0757231,17976.1751964,1452.07610731,2707.2731876,7100.67347226,39796.1618586,72258.0081299,98176.3967424,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,new_cash,USD,200000,69520260814,1115.26376426,409.27323872,15.0312678549,33.251251577,115.47205046,1237.2357763,2932.68201218,4637.9291045,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,ordinary_action_hours,hours,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,personal_income_transfers,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,processor_fees,USD,200000,69520260814,1229.38850492,705.881564206,54.9815789175,103.084776207,272.469374439,1604.60189761,3015.90876354,4212.69573022,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,redirect_cleared_principal,USD,200000,69520260814,39247.8023028,24417.2941617,2052.2391714,3785.79596996,9782.63729723,53047.2691038,95123.9422165,127213.912875,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,redirect_matcher_addon_cash,USD,200000,69520260814,4455.80809005,2098.00432565,111.28610175,226.331111745,684.07100289,5518.11791038,11593.1393126,16953.603031,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,redirect_payment_settlement_loss,USD,200000,69520260814,1607.87617995,635.275932367,36.6842906345,72.2020942781,211.112778959,1727.37082015,3953.78231863,6305.62973758,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,redirect_settled_principal,USD,200000,69520260814,37803.5784569,23418.9654914,1964.1194965,3616.46859382,9366.45098065,50993.1201513,91650.5718621,122891.142759,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,refund_losses,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,rescued_cash,USD,200000,69520260814,31667.0094098,19452.1646394,1621.96963052,2998.30404435,7767.27084358,42662.5609287,76826.3239178,103764.793888,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,review_cash_costs,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,security_cash_costs,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,skilled_work_hours,hours,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,successful_dac_projects,projects,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,support_cash_costs,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,support_review_coordination_hours,hours,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,timing_only_shifts,USD,200000,69520260814,75.4759385536,16.6659816586,0,0,1.91289623015,69.9694478227,199.903468623,345.024317698,0.15869,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,unmatched_fallback_cash,USD,200000,69520260814,170451.366299,156106.651691,52859.7154639,68347.2609364,103344.618257,223259.361252,293010.812288,337443.445135,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,within_high_impact_reallocation,USD,200000,69520260814,6136.56904703,2898.12142311,192.239091632,371.690234306,1037.38858695,7294.71297434,15440.5353942,23092.175626,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,api_costs,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,bonus_transfer_fees,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,cash_operating_costs,USD,200000,69520260814,98.5601066437,5.07964377084,0,0,0,54.9841072737,234.862821499,479.126327881,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,cause_directed_cash,USD,200000,69520260814,1119.93612355,61.3420429861,0,0,0,656.321892415,2744.23953021,5590.50649689,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,chargeback_losses,USD,200000,69520260814,11.9042741919,0.246938992773,0,0,0,3.49408740407,19.0844170503,46.400208022,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,cloud_costs,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,completed_complementary_role_coacts,groups,200000,69520260814,0.124129379533,0.00237794399861,0,0,0,0.0383270100319,0.218966296495,0.51985692654,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,completed_consumption_change,commitments_or_groups,200000,69520260814,3.01726184269,0.136912663005,0,0,0,1.51981274945,6.65715820565,13.9898325982,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,completed_dietary_animal_product,commitments_or_groups,200000,69520260814,3.77157730336,0.171140828756,0,0,0,1.89976593681,8.32144775706,17.4872907477,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,completed_direct_trades,commitments,200000,69520260814,15.4871001674,0.717076600883,0,0,0,7.91671858406,34.5755081739,72.1640652066,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,completed_learning_forecasting_strategic_reasoning,commitments_or_groups,200000,69520260814,3.01726184269,0.136912663005,0,0,0,1.51981274945,6.65715820565,13.9898325982,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,completed_same_action_coacts,groups,200000,69520260814,0.542804952038,0.0138117370825,0,0,0,0.198128201797,1.04213137236,2.39371230357,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,completed_skilled_work,commitments_or_groups,200000,69520260814,3.58211015442,0.140296410245,0,0,0,1.65211928019,7.64672002953,16.5054203128,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,completed_transport_carbon,commitments_or_groups,200000,69520260814,2.7658233558,0.125503274421,0,0,0,1.39316168699,6.10239502185,12.824013215,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,dac_bonus_liability_locked,USD_internal_liability,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,dac_bonus_liability_released,USD_internal_liability,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,dac_bonus_paid,USD_internal_transfer,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,dac_capacity_waiting_pledges,USD_pledge_principal,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,dac_free_reserve,USD_reserve_state,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,dac_funding_lost_to_surcharge,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,dac_gross_threshold,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,dac_incremental_funding_caused_by_bonus,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,dac_pledge_principal,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,dac_project_funding,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,dac_project_target,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,dac_required_surcharge,USD_internal_threshold_component,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,dac_reserve_cash,USD_reserve_state,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,dac_returned_or_cancelled_principal,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,dac_surcharge_inflow,USD_internal_transfer,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,donation_displacement,USD,200000,69520260814,106.657596351,3.59258850586,0,0,0,45.9986642677,220.857933049,480.428425594,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,failed_settlement_losses,USD,200000,69520260814,11.4839763721,0.247752350748,0,0,0,3.50225885923,18.8950690775,45.0856360395,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,gross_planned_principal,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,lapsed_dac_projects,projects,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,legal_cash_costs,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,net_causal_cash,USD,200000,69520260814,211.82079223,0.605459604968,-17.8449774038,-0.96994684799,0,65.5045525789,431.739979256,1043.782141,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,new_cash,USD,200000,69520260814,417.038495225,15.8912527739,0,0,0,199.765036045,923.998890512,2009.05284088,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,ordinary_action_hours,hours,200000,69520260814,20.541533528,0.631125127665,0,0,0,8.38612028899,41.3246249443,91.8458743391,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,personal_income_transfers,USD,200000,69520260814,716.664351949,35.6260145275,0,0,0,398.87949251,1719.90293179,3548.36931874,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,processor_fees,USD,200000,69520260814,53.775788666,2.86441319085,0,0,0,30.9347430963,131.2353447,266.698198802,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,redirect_cleared_principal,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,redirect_matcher_addon_cash,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,redirect_payment_settlement_loss,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,redirect_settled_principal,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,refund_losses,USD,200000,69520260814,21.3960674137,0.509715404264,0,0,0,6.98636534796,36.8757011065,86.7399968065,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,rescued_cash,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,review_cash_costs,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,security_cash_costs,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,skilled_work_hours,hours,200000,69520260814,5.35649147596,0.127329683749,0,0,0,1.84035336757,9.88557059362,22.8398564254,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,successful_dac_projects,projects,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,support_cash_costs,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,support_review_coordination_hours,hours,200000,69520260814,13.1073970906,0.546507114015,0,0,0,6.27439237781,27.8428599796,60.3209422617,0.344085,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,timing_only_shifts,USD,200000,69520260814,28.6083620352,0.156730648869,0,0,0,8.61379673223,54.232998019,131.580901281,0.44734,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,unmatched_fallback_cash,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,direct,within_high_impact_reallocation,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,api_costs,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,bonus_transfer_fees,USD,200000,69520260814,6.0540323089,0.90507297062,0,0,0.0475416856417,6.19215288836,19.6008656318,32.9075287675,0.181475,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,cash_operating_costs,USD,200000,69520260814,103.037799861,22.6069681205,0.619624230723,1.4435502334,5.4422703699,98.7421422932,256.485245753,443.622967553,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,cause_directed_cash,USD,200000,69520260814,1699.47771075,409.939665985,12.8725769311,29.2678365349,104.151272112,1720.98113665,3984.84934589,7279.28036524,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,chargeback_losses,USD,200000,69520260814,11.4553162313,1.22754725509,0.0206417786449,0.0526673848072,0.239133146443,5.8987443896,21.7360355634,45.6611672893,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,cloud_costs,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,completed_complementary_role_coacts,groups,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,completed_consumption_change,commitments_or_groups,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,completed_dietary_animal_product,commitments_or_groups,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,completed_direct_trades,commitments,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,completed_learning_forecasting_strategic_reasoning,commitments_or_groups,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,completed_same_action_coacts,groups,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,completed_skilled_work,commitments_or_groups,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,completed_transport_carbon,commitments_or_groups,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,dac_bonus_liability_locked,USD_internal_liability,200000,69520260814,566.435263709,123.296713416,0.992854521723,3.0272406167,18.3677054747,721.74879385,2500,2500,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,dac_bonus_liability_released,USD_internal_liability,200000,69520260814,102.579911741,23.2856192347,0.702102496742,1.60576117283,5.7844627717,101.59791506,244.012030115,444.266640595,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,dac_bonus_paid,USD_internal_transfer,200000,69520260814,463.855351968,88.7376992958,0,0,5.07345185282,568.068590862,1953.31282982,2289.26820217,0.181475,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,dac_capacity_waiting_pledges,USD_pledge_principal,200000,69520260814,6212.63488619,0,0,0,0,0,4554.1950217,45021.6657465,0.89111,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,dac_free_reserve,USD_reserve_state,200000,69520260814,2189.29984422,2448.74006962,648.217917593,1127.49452112,2116.48797131,2500.14202823,2508.06381392,2543.40796289,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,dac_funding_lost_to_surcharge,USD,200000,69520260814,2489.34758673,12.4236319091,0.0433726273761,0.278737752227,1.68643759126,147.658937476,2504.81192296,9680.68556071,0.038,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,dac_gross_threshold,USD,200000,69520260814,232227.67258,61581.7743328,4299.16883998,7754.64411013,20619.2860358,185487.629271,498071.696104,898056.74336,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,dac_incremental_funding_caused_by_bonus,USD,200000,69520260814,11.709785399,0.20571922113,0,0,0,2.67994667794,14.9668626076,37.028982522,0.347465,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,dac_pledge_principal,USD,200000,69520260814,10219.1863376,2255.80690649,18.7142485266,56.7878294974,340.690571593,13101.9544431,41918.175721,44111.0793422,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,dac_project_funding,USD,200000,69520260814,1699.47771075,409.939665985,12.8725769311,29.2678365349,104.151272112,1720.98113665,3984.84934589,7279.28036524,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,dac_project_target,USD,200000,69520260814,213112.740501,58665.4610498,4174.44053038,7515.1417422,19898.4869459,173851.676851,458864.276095,821829.91424,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,dac_required_surcharge,USD_internal_threshold_component,200000,69520260814,19114.9320789,2438.15317978,123.461314308,230.400866626,671.870756182,10299.1794202,37636.1130828,78073.5302719,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,dac_reserve_cash,USD_reserve_state,200000,69520260814,2189.29984422,2448.74006962,648.217917593,1127.49452112,2116.48797131,2500.14202823,2508.06381392,2543.40796289,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,dac_returned_or_cancelled_principal,USD,200000,69520260814,8366.5534307,1629.25222488,0,0,94.4960458065,10298.5298277,34727.1400928,39395.496797,0.181235,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,dac_surcharge_inflow,USD_internal_transfer,200000,69520260814,153.155196184,15.5326618547,0.364080847939,0.842330807798,3.19296060528,112.68961362,434.396477355,725.042770912,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,donation_displacement,USD,200000,69520260814,147.875082637,27.0591292741,0.646476785089,1.53834273832,6.13627012089,114.827557334,354.409210389,640.020402562,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,failed_settlement_losses,USD,200000,69520260814,11.052077106,1.22783495136,0.0207654051756,0.052800975016,0.240113049204,5.85084657149,21.5779850208,45.4646232202,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,gross_planned_principal,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,lapsed_dac_projects,projects,200000,69520260814,31.4476803862,18.5837362517,3.18753465362,4.80010258073,9.21723785769,37.2536300312,69.8737394442,101.172480609,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,legal_cash_costs,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,net_causal_cash,USD,200000,69520260814,329.007192465,46.581137214,-8.05613647072,0.051472498134,6.87598930147,236.261667191,819.597634643,1481.7149785,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,new_cash,USD,200000,69520260814,579.920074963,117.216681937,2.92579798211,6.99550471546,27.3364852953,494.68771797,1431.99007769,2490.69693285,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,ordinary_action_hours,hours,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,personal_income_transfers,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,processor_fees,USD,200000,69520260814,54.0992211398,11.7804567356,0.344831877199,0.792005322705,2.90824874298,50.2816759693,132.817563783,233.091597605,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,redirect_cleared_principal,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,redirect_matcher_addon_cash,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,redirect_payment_settlement_loss,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,redirect_settled_principal,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,refund_losses,USD,200000,69520260814,20.3771530748,2.45912525459,0.0439012175345,0.111504389851,0.492578001268,11.4807233069,41.09037802,84.6118198457,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,rescued_cash,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,review_cash_costs,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,security_cash_costs,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,skilled_work_hours,hours,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,successful_dac_projects,projects,200000,69520260814,0.999478169976,0.118498199566,0.00574452970487,0.013965596949,0.0419900981769,0.367838581663,1.2667420066,3.7897789921,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,support_cash_costs,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,support_review_coordination_hours,hours,200000,69520260814,72.2107285319,42.1696824716,7.63895478234,11.113458097,20.973108641,84.9289498939,160.138918964,233.844737216,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,timing_only_shifts,USD,200000,69520260814,39.9595091603,4.53040266267,0,0,0.412052606138,25.6662752456,95.1227175585,181.194517958,0.15869,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,unmatched_fallback_cash,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac,within_high_impact_reallocation,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,platform_shared,api_costs,USD,200000,69520260814,1808.5502426,1691.64720071,665.099462874,827.292558471,1151.06765378,2386.25947392,3002.5136884,3310.67944697,0,prior_driven_synthetic_not_empirical
